"","age_group","RACE","prop","prop_edu_all","prop_edu","prop_veh","prop_ccbal","prop_mort","prop_rdebt","count"
"1","Under 35","Black, non-Hispanic",0.423111064141872,0.496786969822671,0.362153325833553,0.193837628380751,0.283369662305246,0.0432743544117448,1,836
"2","Under 35","Hispanic",0.152147014241519,0.292258695136231,0.114459088448301,0.0800155901706569,0.110500364588038,0.0263779993210295,1,670
"3","Under 35","Other",0.198154536954737,0.250893750825576,0.124949486778663,0.051656058288593,0.109883437237828,0.0484167109982823,0.0221923499184903,301
"4","Under 35","White, non-Hispanic",0.228993077013626,0.439391206982248,0.20336642430557,0.108030635802555,0.135947318244895,0.0498462036825749,0.00450012217104342,2558
"5","35-54","Black, non-Hispanic",0.135163636529434,0.372020881022316,0.10938417086363,0.0549781936449851,0.0876069069285339,0.025024377642531,0.00782383734416635,1465
"6","35-54","Hispanic",0.110443755345456,0.165512488513352,0.0631962113923373,0.0667062305484017,0.0939811515530014,0.0252613743356309,1,1336
"7","35-54","Other",0.0613392592518363,0.176675549738667,0.0350287522695911,0.0387939262110332,0.0327671580609885,0.00442933343326122,1,794
"8","35-54","White, non-Hispanic",0.0922975451403332,0.299365803855666,0.0680924925184604,0.0448110697929808,0.0591630368469956,0.0171920783879227,0.000721798599169126,6765
"9","Over 55","Black, non-Hispanic",0.0993635286029963,0.130802337414858,0.0377383464978105,0.0398617110064219,0.0521736361356199,0.0145146017930711,1,1456
"10","Over 55","Hispanic",0.0752651891422539,0.0566242629842731,0.00717082553235561,0.0254834370678047,0.0606595637285164,1,1,785
"11","Over 55","Other",0.0303554180244736,0.0676490092702355,0.0177304879812343,1,0.0303554180244736,1,1,539
"12","Over 55","White, non-Hispanic",0.0273522106360921,0.0587136054256824,0.0101179448944549,0.00894527403951719,0.0186672642687377,0.00613114241967214,0.000853025608818152,11380
